Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
EarDia	249	1.0	1286.913857365571	6.53486305489535	3.067558171272524
EarDia	239	1.0418410041841004	1286.518097861479	6.108963551231159	3.6479388130449197
EarDia	234	1.064102564102564	1285.7290774358898	6.224821876865109	3.564169397339791
EarDia	229	1.0873362445414847	1284.816239415649	6.260407509004403	3.574855432870034
EarDia	225	1.1066666666666667	1284.5973967404514	6.246494645201673	3.648887494437707
EarDia	220	1.1318181818181818	1285.61212813134	5.920621155603005	4.110625813114256
EarDia	216	1.1527777777777777	1285.9413326626027	5.7720437603024	4.3412945633570255
EarDia	211	1.180094786729858	1287.710791432801	5.310116132519105	4.9802824544275435
EarDia	207	1.2028985507246377	1285.5217961409544	5.482825702013599	4.81055949578952
EarDia	203	1.2266009852216748	1286.1260794376221	5.492665950593763	4.943666877768241
EarDia	199	1.2512562814070352	1286.551155814638	5.316908201582696	5.235121569250756
EarDia	195	1.2769230769230768	1289.106104719625	5.0714390112249665	5.680778996994119
EarDia	191	1.3036649214659686	1291.060575765662	4.817930370999291	6.108592668022006
EarDia	187	1.3315508021390374	1291.2885657062593	4.818530530257146	6.221648563752539
EarDia	183	1.360655737704918	1297.6169653980407	3.9442661883489594	7.4584325213623
EarDia	180	1.3833333333333333	1298.0647348160046	3.8706856992256777	7.59983841293464
EarDia	176	1.4147727272727273	1296.1410364966175	4.06903220234272	7.417263279181305
EarDia	173	1.439306358381503	1295.8457893516738	4.100466288295485	7.444300019937558
EarDia	169	1.4733727810650887	1295.2734425290394	4.256636979033618	7.373166314936113
EarDia	166	1.5	1294.5109765884952	4.366511606945389	7.311253589612906
EarDia	162	1.537037037037037	1293.1750125045264	4.522774497411064	7.221245131197418
EarDia	159	1.5660377358490567	1291.6322007952285	4.727209235529071	7.062449258086631
EarDia	156	1.5961538461538463	1291.937128853943	4.683210758774936	7.196011018469165
EarDia	153	1.6274509803921569	1290.2621211424841	4.887987795882697	7.0457475307438155
EarDia	150	1.66	1288.8826689168882	5.0412892708115145	6.959072251012023
EarDia	147	1.6938775510204083	1288.0147460275923	5.147250127499691	6.926298985973302
EarDia	144	1.7291666666666667	1286.0507655931274	5.351819487511978	6.7954693024434825
EarDia	141	1.7659574468085106	1288.9701720480123	4.955279100487913	7.274272108736401
EarDia	138	1.8043478260869565	1287.5676334535212	5.13885689818371	7.182386962592272
EarDia	135	1.8444444444444446	1287.3900910886478	5.194389330020726	7.21764010851579
EarDia	133	1.8721804511278195	1288.071838515569	5.189065640669654	7.30683799307388
EarDia	130	1.9153846153846155	1290.410191253432	5.058774228931677	7.583347994346273
EarDia	127	1.9606299212598426	1287.6426112002916	5.316812912683608	7.40831785689675
EarDia	125	1.992	1290.7909041902017	5.036723342104863	7.784586535513165
EarDia	122	2.040983606557377	1289.404958593789	5.201486952477768	7.7146532554027605
EarDia	120	2.075	1287.9895438498306	5.382599008546805	7.613355782414627
EarDia	117	2.128205128205128	1295.6805166757922	4.627403713753203	8.48564360032379
EarDia	115	2.1652173913043478	1295.309911528509	4.709093500544043	8.477206190726557
EarDia	113	2.2035398230088497	1294.5235754687765	4.854804405299733	8.417565716617256
EarDia	110	2.2636363636363637	1297.1180527936885	4.730754157233117	8.71105060311932
EarDia	108	2.3055555555555554	1296.5189932105923	4.779981083503666	8.714766043217562
EarDia	106	2.349056603773585	1297.0207308645665	4.647777880932304	8.85510897048328
EarDia	104	2.394230769230769	1298.7382912508583	4.431523785651512	9.10442297035578
EarDia	102	2.4411764705882355	1299.672791930372	4.372198487675096	9.233716169279244
EarDia	100	2.49	1298.8786486706479	4.51115097048467	9.178437410247149
EarDia	98	2.5408163265306123	1298.4637503833055	4.589888242371313	9.1768115545601
EarDia	96	2.59375	1297.5336692890853	4.765002583592168	9.104652366429484
EarDia	94	2.648936170212766	1297.5376706829554	4.643815393715256	9.232553368259444
EarDia	92	2.7065217391304346	1296.9205004839437	4.778950184532239	9.200591852679699
EarDia	90	2.7666666666666666	1296.6537360783057	4.867053038943728	9.209342234978651
EarDia	88	2.8295454545454546	1296.1728466242444	4.992381751327915	9.200446571517183
EarDia	87	2.8620689655172415	1297.5925138178363	4.962312952936235	9.316547599683672
EarDia	85	2.929411764705882	1296.6670667187427	5.114487429568477	9.263703068476977
EarDia	83	3.0	1295.142277325532	5.347410316967364	9.164131653876888
EarDia	81	3.074074074074074	1294.037621668972	5.583560128795276	9.085962989740212
EarDia	80	3.1125	1296.4513831679494	5.202593783069761	9.369699267167201
EarDia	78	3.1923076923076925	1296.4674932305518	5.231736940665196	9.424839670958328
EarDia	77	3.2337662337662336	1296.3231626234688	5.289733149845187	9.427612983817783
EarDia	75	3.32	1297.0416149171326	5.270877064546735	9.535350188067298
EarDia	74	3.364864864864865	1296.65283434877	5.367086127894889	9.516978248603065
EarDia	72	3.4583333333333335	1302.1005014522693	4.964819145933103	9.986639095945442
EarDia	71	3.507042253521127	1302.2542308659724	4.941263254362754	10.030651978159721
EarDia	69	3.608695652173913	1302.1714420113983	4.914250578935255	10.096453826086723
EarDia	68	3.661764705882353	1301.5577617075712	5.049192972242829	10.0495901138212
EarDia	66	3.772727272727273	1300.8003747685996	5.239969031948073	10.010657217124445
EarDia	65	3.830769230769231	1301.8367194807688	5.053789677795717	10.148867921017333
EarDia	64	3.890625	1302.484875377455	4.699231884540078	10.337592066796217
EarDia	63	3.9523809523809526	1303.2791867631777	4.784983857606377	10.392580966582276
EarDia	61	4.081967213114754	1302.0994183064724	5.086352231219733	10.305050609292357
EarDia	60	4.15	1302.818723166496	4.937138130907369	10.41160061691297
